id,name,image_url,description,meal_type,tags
almond_snack,Almond Snack Mix,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/almond_snack.png,Supports skin hydration and repair,snack,"[""vitamin_e"",""evenness""]"
avocado_toast,Avocado Toast,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/avocado_toast.png,Improves hydration and skin barrier,breakfast,"[""healthy""]"
broccoli_stir,Broccoli Stir Fry,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/broccoli_stir.png,Protects skin from damage,dinner,"[""antioxidant""]"
carrot_juice,Carrot Juice,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/carrot_juice.png,Improves skin texture and clarity,drink,"[""vitamin_a""]"
chia_pudding,Chia Seed Pudding,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/chia_pudding.png,Boosts hydration and skin glow,breakfast,"[""healthy""]"
egg_salad,Egg Protein Salad,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/egg_salad.png,Supports skin repair and strength,lunch,"[""protein""]"
fruit_bowl,Antioxidant Fruit Bowl,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/fruit_bowl.png,Rich in antioxidants for glowing skin,snack,"[""fruit""]"
green_smoothie,Green Detox Smoothie,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/green_smoothie.png,Improves skin clarity and detox,breakfast,"[""vitamin_c""]"
salmon_bowl,Omega Salmon Bowl,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/salmon_bowl.png,Rich in omega-3 for skin hydration,lunch,"[""omega_3""]"
spinach_soup,Spinach Soup,https://dbcjzgwcqshtwowtzjce.supabase.co/storage/v1/object/public/assets/recipe/spinach_soup.png,Improves blood flow and glow,dinner,"[""iron""]"
